n,m,k
1,0,1
2,0,1
2,2,"0,1"
3,0,"1,0,0,1"
3,2,"0,3,3"
4,0,"1,0,0,4,3"
4,2,"0,6,12,12,12,6"
4,4,"0,0,3,4,0,0,1"
5,0,"1,0,0,10,15,12,15,10,0,0,1"
5,2,"0,10,30,60,130,180,130,60,30,10"
5,4,"0,0,15,50,65,60,65,50,15"
6,0,"1,0,0,20,45,72,160,240,195,120,96,60,15"
6,2,"0,15,60,180,600,1455,2400,3000,3000,2325,1380,660,240,45"
6,4,"0,0,45,240,660,1380,2325,3000,3000,2400,1455,600,180,60,15"
6,6,"0,0,0,15,60,96,120,195,240,160,72,45,20,0,0,1"
7,0,"1,0,0,35,105,252,805,1935,3255,4515,5481,5481,4515,3255,1935,805,252,105,35,0,0,1"
7,2,"0,21,105,420,1890,6615,17577,38115,67725,97125,114471,114471,97125,67725,38115,17577,6615,1890,420,105,21"
7,4,"0,0,105,770,3255,11025,29995,63945,110355,159845,194145,194145,159845,110355,63945,29995,11025,3255,770,105"
7,6,"0,0,0,105,735,2457,5887,12285,22155,32445,38619,38619,32445,22155,12285,5887,2457,735,105"
8,0,"1,0,0,56,210,672,2800,9320,24087,53760,103936,169008,235228,289856,315360,295120,236831,166656,103040,54040,23730,9248,3248,840,105"
8,2,"0,28,168,840,4760,21840,80696,254296,679560,1521100,2880528,4693584,6641264,8178688,8774640,8204336,6669712,4696692,2859976,1505000,680568,261296,84056,22008,4200,420"

n,m,k
1,0,0
2,0,0
2,2,0
3,0,0
3,2,0
4,0,0
4,2,0
4,4,0
5,0,0
n,m,k
1,0,0
2,0,0
2,2,0
3,0,0
3,2,0
4,0,0
4,2,0
4,4,0
n,m,k
1,0,0
2,0,0
2,2,0
3,0,0
3,2,0
4,0,0
4,2,0
4,4,0
n,m,k
1,0,0
2,0,0
2,2,0
3,0,0
3,2,0
4,0,0
4,2,0
4,4,0
5,0,0
5,2,0
5,4,0
6,0,0
