timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20250912_213107,BA,4,incremental,24,0.3166,13508608,13192.0,12.8828125,completed
20250912_213108,BA,5,incremental,480,0.3843,16322560,15940.0,15.56640625,completed
20250912_213109,BA,6,incremental,28800,0.6675,18935808,18492.0,18.05859375,completed
20250912_213110,BA,7,incremental,4032000,1.701,22384640,21860.0,21.34765625,completed
20250912_213116,BA,8,incremental,1128960000,5.3484,25374720,24780.0,24.19921875,completed
20250912_213135,BA,9,incremental,568995840000,19.1884,33529856,32744.0,31.9765625,completed
20250912_213244,BA,10,incremental,477956505600000,68.281,79704064,77836.0,76.01171875,completed
20250912_213648,BA,11,incremental,630902587392000000,244.4514,99028992,96708.0,94.44140625,completed
20250912_215135,BA,12,incremental,1249187123036160000000,886.0361,130093056,127044.0,124.06640625,completed
20250912_224641,BA,13,incremental,3572675171883417600000000,3306.6787,169897984,165916.0,162.02734375,completed
20250913_021519,BA,14,incremental,14304991388221204070400000000,12517.9857,234201088,228712.0,223.3515625,completed
20250913_062520,BA,15,incremental,timeout,15000.128,314572800,307200.0,300.0,timeout
20250913_062520,BA,4,dr,24,0.1616,13422592,13108.0,12.80078125,completed
20250913_062520,BA,5,dr,480,0.1605,13807616,13484.0,13.16796875,completed
20250913_062521,BA,6,dr,28800,0.1571,13737984,13416.0,13.1015625,completed
20250913_062521,BA,7,dr,4032000,0.1608,13647872,13328.0,13.015625,completed
20250913_062521,BA,8,dr,1128960000,0.1581,13152256,12844.0,12.54296875,completed
20250913_062521,BA,9,dr,568995840000,0.1592,13676544,13356.0,13.04296875,completed
20250913_062522,BA,10,dr,477956505600000,0.1601,14155776,13824.0,13.5,completed
20250913_062522,BA,11,dr,630902587392000000,0.1597,13307904,12996.0,12.69140625,completed
20250913_062522,BA,12,dr,1249187123036160000000,0.16,13664256,13344.0,13.03125,completed
20250913_062523,BA,13,dr,3572675171883417600000000,0.1565,13766656,13444.0,13.12890625,completed
20250913_062523,BA,14,dr,14304991388221204070400000000,0.1624,14069760,13740.0,13.41796875,completed
20250913_062523,BA,15,dr,78105252979687774224384000000000,0.1601,12800000,12500.0,12.20703125,completed
20250913_062524,BA,16,dr,568606241692126996353515520000000000,0.1603,13131776,12824.0,12.5234375,completed
20250913_062524,BA,17,dr,5413131420909049005285467750400000000000,0.1618,14213120,13880.0,13.5546875,completed
20250913_062524,BA,18,dr,66256728591926759824694125264896000000000000,0.1624,13410304,13096.0,12.7890625,completed
20250913_062524,BA,19,dr,1027244320089232484322057718106947584000000000000,0.1604,13426688,13112.0,12.8046875,completed
20250913_062525,BA,20,dr,19907994923329325546161478576912644177920000000000000,0.1584,13533184,13216.0,12.90625,completed
20250913_062525,BA,21,dr,476597398464504053575105797131288701619404800000000000000,0.1594,13463552,13148.0,12.83984375,completed
20250913_062525,BA,22,dr,13945239879071388607607595624061507409383784448000000000000000,0.1607,12943360,12640.0,12.34375,completed
20250913_062526,BA,23,dr,493940396516708584481461037004258592440373645148160000000000000000,0.1613,13508608,13192.0,12.8828125,completed
20250913_062526,BA,24,dr,20994442613546181674800019916829007213085641413377392640000000000000000,0.1614,13942784,13616.0,13.296875,completed
20250913_062526,BA,25,dr,1062318796245436792744881007791547764982133455516896067584000000000000000000,0.165,14299136,13964.0,13.63671875,completed
20250913_062527,BA,26,dr,63526664015477120206143884265934556345931580639910384841523200000000000000000000,0.1619,14123008,13792.0,13.46875,completed
20250913_062527,BA,27,dr,4459571813886493838471300675468605855484396960921709015874928640000000000000000000000,0.1592,14000128,13672.0,13.3515625,completed
20250913_062527,BA,28,dr,365238931557303845370799525320878819564172111099487968400156655616000000000000000000000000,0.2395,52936704,51696.0,50.484375,completed
20250913_062527,BA,29,dr,34699159453670094525607438103584771373874607242895754949888482910142464000000000000000000000000,0.1579,13303808,12992.0,12.6875,completed
20250913_062528,BA,30,dr,3803721859311315761897087364914962638004134445966232657606775496609816903680000000000000000000000000,0.1607,13479936,13164.0,12.85546875,completed
20250913_062528,BA,31,dr,478736433212922201792367415748197197619200361369310042286388764003311555497164800000000000000000000000000,0.1611,13643776,13324.0,13.01171875,completed
20250913_062528,BA,32,dr,68861448553346729505814129081220684905545779979361556482474159814236334142712184832000000000000000000000000000,0.1625,13651968,13332.0,13.01953125,completed
20250913_062529,BA,33,dr,11271241899211792685511656648014201705339733267021899565051370478394203172479130413301760000000000000000000000000000,0.1591,13369344,13056.0,12.75,completed
20250913_062529,BA,34,dr,2090860457271384390333154354833226473147341879965630456915289429224038265307568608189129687040000000000000000000000000000,0.1605,13754368,13432.0,13.1171875,completed
20250913_062529,BA,35,dr,437909814170918746711375848076270952535979283340001642896338218056682574286017169299131321653657600000000000000000000000000000,0.1594,14000128,13672.0,13.3515625,completed
20250913_062530,BA,36,dr,103180310414951875100134377323730961836527438740571187099235210938515548153271365430261322008034803712000000000000000000000000000000,0.1626,13832192,13508.0,13.19140625,completed
