timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20250914_194446,BA_CC,4,incremental,24,0.535,17879040,17460.0,17.05078125,completed
20250914_194449,BA_CC,5,incremental,480,3.51,19673088,19212.0,18.76171875,completed
20250914_194522,BA_CC,6,incremental,28800,32.3981,25731072,25128.0,24.5390625,completed
20250914_194947,BA_CC,7,incremental,4032000,264.6049,42160128,41172.0,40.20703125,completed
20250914_202150,BA_CC,8,incremental,1128960000,1923.7224,112795648,110152.0,107.5703125,completed
20250914_230831,BA_CC,9,incremental,timeout,10000.1378,201318400,196600.0,191.9921875,timeout
20250914_230831,BA_CC,4,dr,24,0.1613,13807616,13484.0,13.16796875,completed
20250914_230831,BA_CC,5,dr,480,0.1592,15106048,14752.0,14.40625,completed
20250914_230832,BA_CC,6,dr,28800,0.1601,14082048,13752.0,13.4296875,completed
20250914_230832,BA_CC,7,dr,4032000,0.1622,14573568,14232.0,13.8984375,completed
20250914_230832,BA_CC,8,dr,1128960000,0.1615,15040512,14688.0,14.34375,completed
20250914_230832,BA_CC,9,dr,568995840000,0.159,14954496,14604.0,14.26171875,completed
20250914_230833,BA_CC,10,dr,477956505600000,0.1598,15101952,14748.0,14.40234375,completed
20250914_230833,BA_CC,11,dr,630902587392000000,0.1616,14544896,14204.0,13.87109375,completed
20250914_230833,BA_CC,12,dr,1249187123036160000000,0.1609,14139392,13808.0,13.484375,completed
20250914_230834,BA_CC,13,dr,3572675171883417600000000,0.1604,15118336,14764.0,14.41796875,completed
20250914_230834,BA_CC,14,dr,14304991388221204070400000000,0.1584,15495168,15132.0,14.77734375,completed
20250914_230834,BA_CC,15,dr,78105252979687774224384000000000,0.1624,14835712,14488.0,14.1484375,completed
20250914_230834,BA_CC,16,dr,568606241692126996353515520000000000,0.1604,14663680,14320.0,13.984375,completed
20250914_230835,BA_CC,17,dr,5413131420909049005285467750400000000000,0.1597,15118336,14764.0,14.41796875,completed
20250914_230835,BA_CC,18,dr,66256728591926759824694125264896000000000000,0.1608,14876672,14528.0,14.1875,completed
20250914_230835,BA_CC,19,dr,1027244320089232484322057718106947584000000000000,0.1621,14217216,13884.0,13.55859375,completed
20250914_230836,BA_CC,20,dr,19907994923329325546161478576912644177920000000000000,0.1594,14983168,14632.0,14.2890625,completed
20250914_230836,BA_CC,21,dr,476597398464504053575105797131288701619404800000000000000,0.2328,15470592,15108.0,14.75390625,completed
20250914_230836,BA_CC,22,dr,13945239879071388607607595624061507409383784448000000000000000,0.2314,26587136,25964.0,25.35546875,completed
20250914_230837,BA_CC,23,dr,493940396516708584481461037004258592440373645148160000000000000000,0.2374,26329088,25712.0,25.109375,completed
20250914_230837,BA_CC,24,dr,20994442613546181674800019916829007213085641413377392640000000000000000,0.2358,27901952,27248.0,26.609375,completed
20250914_230837,BA_CC,25,dr,1062318796245436792744881007791547764982133455516896067584000000000000000000,0.2288,30412800,29700.0,29.00390625,completed
20250914_230838,BA_CC,26,dr,63526664015477120206143884265934556345931580639910384841523200000000000000000000,0.3,32997376,32224.0,31.46875,completed
20250914_230838,BA_CC,27,dr,4459571813886493838471300675468605855484396960921709015874928640000000000000000000000,0.3153,33189888,32412.0,31.65234375,completed
20250914_230839,BA_CC,28,dr,365238931557303845370799525320878819564172111099487968400156655616000000000000000000000000,0.3065,35799040,34960.0,34.140625,completed
20250914_230839,BA_CC,29,dr,34699159453670094525607438103584771373874607242895754949888482910142464000000000000000000000000,0.3905,40214528,39272.0,38.3515625,completed
20250914_230840,BA_CC,30,dr,3803721859311315761897087364914962638004134445966232657606775496609816903680000000000000000000000000,0.3851,43073536,42064.0,41.078125,completed
20250914_230840,BA_CC,31,dr,478736433212922201792367415748197197619200361369310042286388764003311555497164800000000000000000000000000,0.4628,46002176,44924.0,43.87109375,completed
20250914_230841,BA_CC,32,dr,68861448553346729505814129081220684905545779979361556482474159814236334142712184832000000000000000000000000000,0.4708,49569792,48408.0,47.2734375,completed
20250914_230841,BA_CC,33,dr,11271241899211792685511656648014201705339733267021899565051370478394203172479130413301760000000000000000000000000000,0.5317,55177216,53884.0,52.62109375,completed
20250914_230842,BA_CC,34,dr,2090860457271384390333154354833226473147341879965630456915289429224038265307568608189129687040000000000000000000000000000,0.6158,61710336,60264.0,58.8515625,completed
20250914_230843,BA_CC,35,dr,437909814170918746711375848076270952535979283340001642896338218056682574286017169299131321653657600000000000000000000000000000,0.6645,65900544,64356.0,62.84765625,completed
20250914_230844,BA_CC,36,dr,103180310414951875100134377323730961836527438740571187099235210938515548153271365430261322008034803712000000000000000000000000000000,0.7567,74366976,72624.0,70.921875,completed
20250914_230845,BA_CC,37,dr,27258174405421986363953499801383245497973818766484096207875958025737037511131229319366436048082634444636160000000000000000000000000000000,0.8383,82821120,80880.0,78.984375,completed
20250914_230846,BA_CC,38,dr,8048248574944895693820910351356417065731749728992094246337455366679117695536606768836133907556878646123272601600000000000000000000000000000000,0.9157,91172864,89036.0,86.94921875,completed
20250914_230847,BA_CC,39,dr,2647905974151170462849854789237666640294008587837314975422008165458896438302325773374163400121843302089141179016806400000000000000000000000000000000,1.0703,98299904,95996.0,93.74609375,completed
20250914_230848,BA_CC,40,dr,967968507910701874399392916753721417025877779369808862415269304965154181985798209714659172548541037511706449401383747584000000000000000000000000000000000,1.1359,109604864,107036.0,104.52734375,completed
20250914_230850,BA_CC,41,dr,392104683184467115281706082718597471608842570867122173987177290055284656038807138791214137615963003475242048523512528471326720000000000000000000000000000000000,1.2998,121139200,118300.0,115.52734375,completed
20250914_230851,BA_CC,42,dr,175553108755349616853925447354770459988710995828627939737539016303552046201694732179602393693418955915935369964947029247182399078400000000000000000000000000000000000,1.4479,134221824,131076.0,128.00390625,completed
20250914_230853,BA_CC,43,dr,86660036605990784863771757832208889868827295980843896172038760008085432087004587593138925622819333398342336029496451517579119481061376000000000000000000000000000000000000,1.5189,146563072,143128.0,139.7734375,completed
20250914_230855,BA_CC,44,dr,47056746517199420144167519589920756034332697026782158997001734839430421964971839081424809168893389312633481833360691159851532194694251413504000000000000000000000000000000000000,1.7418,161701888,157912.0,154.2109375,completed
20250914_230857,BA_CC,45,dr,28044879789320510417520958325200972181341600774021631119033093929603742882683916655747557768477082162543302503046304717448316157393879957420113920000000000000000000000000000000000000,1.8988,179924992,175708.0,171.58984375,completed
20250914_230859,BA_CC,46,dr,18306014833681069969932630337191682581648916489234879496637661731609547129243099757872660857795730610778515275838444941267213888577281203406405160140800000000000000000000000000000000000000,2.0551,198258688,193612.0,189.07421875,completed
20250914_230901,BA_CC,47,dr,13060609343238096180748134440372777854703235958409517125671106139034147494829781953251828615602941961566039508699696927796506420944347047382333825554055168000000000000000000000000000000000000000,2.2898,216944640,211860.0,206.89453125,completed
20250914_230904,BA_CC,48,dr,10165333464029075019399887997630940459872622611149295369252335330133057678175915889854963248096081787526079870411148112842576877549404193918618063105232218357760000000000000000000000000000000000000000,2.463,238911488,233312.0,227.84375,completed
20250914_230907,BA_CC,49,dr,8615160772098497195241482677544212563503887153439472422622831201629086914484801420315640772614421699255502794492929670226535274030630251962804482953936725987075031040000000000000000000000000000000000000000,2.6994,263512064,257336.0,251.3046875,completed
20250914_230910,BA_CC,50,dr,7936286103257135616256453842553728613499780845748441995720152102940714865623399068394768279732405269354169174286886812212684294437016588108135489697166511979293518594048000000000000000000000000000000000000000000,2.9924,289837056,283044.0,276.41015625,completed
20250914_230913,BA_CC,51,dr,7933111588815832762009951261016707122054380933410142618921864042099538579677149708767410372420512307246427506617172057487799220719241781472892235501287645374501801186610380800000000000000000000000000000000000000000000,3.1998,316960768,309532.0,302.27734375,completed
20250914_230917,BA_CC,52,dr,8590766539528665297980576220554992142472689112789843442030486571189590327932385419624228692294172777517156346915735621053537776116866925156995001824344391176048000504980381368320000000000000000000000000000000000000000000000,3.5631,347820032,339668.0,331.70703125,completed
20250914_230921,BA_CC,53,dr,10062364847749925663524648927136062296478260757810743623650308920834367151107203042005859067284164574305845229142401132940008797165686229436388245636854585384505022991483520696713216000000000000000000000000000000000000000000000000,3.8138,382111744,373156.0,364.41015625,completed
20250914_230925,BA_CC,54,dr,12728931781863046964061334991422827349294185771673621926892135386091157783619216276949579743550737323155191438246054002773642888449781742981948876283603597929740392104318619615425005092864000000000000000000000000000000000000000000000000,4.2174,418996224,409176.0,399.5859375,completed
20250914_230930,BA_CC,55,dr,17365063315453205929311754421998849526454114113432588505104788936413279271569007229340155677746786870994775263884031791663859101280961249410834296003617700367710437716553547251755100447786926080000000000000000000000000000000000000000000000000,4.5372,457310208,446592.0,436.125,completed
20250914_230935,BA_CC,56,dr,25512056420531232023107657126623829770285326290890621728159751713820933374618322661057383115518469399390684026687864147040875237237937029184421314316674980672225466675651809480388523373870640319692800000000000000000000000000000000000000000000000000,5.0397,500244480,488520.0,477.0703125,completed
20250914_230940,BA_CC,57,dr,40310069626696167845791022566350715990241626952658817955361534097905627569231934537377107617843802389813256389527892866890464509845430023592553053472919136461343126366196885051393082471650566530727411712000000000000000000000000000000000000000000000000000,5.3874,547180544,534356.0,521.83203125,completed
20250914_230947,BA_CC,58,dr,68409412962073532527735028576902473092719260268818226775684952286873682435192131464691941796090360159704281153539996426542469510368482384438449935987821608105816192893545409683018172400988743447966875868200960000000000000000000000000000000000000000000000000000,5.9473,609009664,594736.0,580.796875,completed
20250914_230953,BA_CC,59,dr,124539609935106714260871730464365259875187784196424657118041558378062686367997016099997538807549685032182282657144177654506271913503863654799735862265573188843070802427470992509573314928689611401997489385563320483840000000000000000000000000000000000000000000000000000,6.3571,648396800,633200.0,618.359375,completed
20250914_231000,BA_CC,60,dr,242919490762823050434400745139963013996948780586494150695024781278746392268232899783689199345677962642672829614066004282220663618165826213233076788783491127765963322966879269729623133701006234624052182946116679136549273600000000000000000000000000000000000000000000000000000,6.8041,706723840,690160.0,673.984375,completed
20250914_231007,BA_CC,61,dr,507075003408132091937776803420061594677510823571859620043808628936880794148554719666468508498155092779568117992993658658793057649831708954026989150442435049921227159627523125219009921750154434278939007725382878363215684698112000000000000000000000000000000000000000000000000000000,7.3989,769994752,751948.0,734.32421875,completed
20250914_231016,BA_CC,62,dr,1131477021104837787308116403615457041131504101501776118973353698437177066447202030369364500492613310926472707127206190058057652978681478725836743050514240721693227859449662551151194359194859601561338923058264847122112214521673154560000000000000000000000000000000000000000000000000000000,8.0671,843153408,823392.0,804.09375,completed
20250914_231024,BA_CC,63,dr,2695925039105652802307556630238404873622389562484221887633050923118324309141090389679870020743730031412069460363709100803731647446185212100902174196738260797949586291596332974125904751879224178256139798414005320643971889052209758443929600000000000000000000000000000000000000000000000000000000,8.6666,909164544,887856.0,867.046875,completed
20250914_231034,BA_CC,64,dr,6851704270587173019675864405977426939930797562611899864306949453308913704979317789732948377200272849753900181792208134529087196911069501295291279329707076771032065358437246639072883430520055765934692322228388178437937131913747309924280854118400000000000000000000000000000000000000000000000000000000,9.3242,987410432,964268.0,941.66796875,completed
20250914_231044,BA_CC,65,dr,18555511437433358484965388949691828541642988727163042736521508231473067739276789265443181477198690920789522316322386381606292783186681980627856031029539517028238198121105413858071619991197194223073696359366031729318483823163533914844540437889286144000000000000000000000000000000000000000000000000000000000,10.0508,1069592576,1044524.0,1020.04296875,completed
20250914_231055,BA_CC,66,dr,53493312812747880509137020495287578666131739341763792644263125650349077524206270237560839016986562081725698095279481251805149338793221748312433594734438882850367336599372375503157511840222567281814697760489145551817670644121688652427028737582265238814720000000000000000000000000000000000000000000000000000000000,11.0006,1159393280,1132220.0,1105.68359375,completed
20250914_231107,BA_CC,67,dr,164006217618859981810573373876912093184066622282700447143899202193918243763014488046742527558959440417604452304279267159534443460792914422586056406768210859708598224626747753502640678701175173480661318157838881130228832781225567673249075947128218640986826342400000000000000000000000000000000000000000000000000000000000,11.8804,1254436864,1225036.0,1196.32421875,completed
20250914_231120,BA_CC,68,dr,534256814142141145147215188338996220030824384750788014589137407114776435787770215391785653224412735537963207559281883942869830951271350448150982187303717603935147060650615876944992116496226174620193470351886468836965631938153535718315794860808057351760226283421696000000000000000000000000000000000000000000000000000000000000,12.7763,1357574144,1325756.0,1294.68359375,completed
20250914_231134,BA_CC,69,dr,1847462200330780648483650710137002284851470845765763957601295510352525374059852555905656355992632137141218923592826991801979646908820134935107889007625004689278154276318072304939290518812416096741327501250704816784102503104662679128078891891853705554616269528977358454784000000000000000000000000000000000000000000000000000000000000,13.8269,1464549376,1430224.0,1396.703125,completed
20250914_231149,BA_CC,70,dr,6775715416689164490765667671484266839875557444513600575619359387858715011394434036988467138111457773536391699790580418593104513409850550485302991566585314698302773060738635624149243120986041028086557917037059971941038658336598748716559582324724813417999537799086780321596702720000000000000000000000000000000000000000000000000000000000000,14.8988,1582297088,1545212.0,1508.99609375,completed
20250914_231205,BA_CC,71,dr,26334088995579105359940398031930462443849949030399889181167665035288410240384923662117157070955705095160127796904082420078844415547920558483149488843196488987541659611483136898680999359437087897299530806881215063347724387171524500836857479088335976341591923637662735191098448989388800000000000000000000000000000000000000000000000000000000000000,16.0476,1706164224,1666176.0,1627.125,completed
20250914_231223,BA_CC,72,dr,108368989671047311213012328365078961830433556251940407962773928446617454284822422457398040092114079379399151504707803811811657385086180765447517450507968463621971935966790945639976101323981126631451137195245300980086021489112770764863802423645156676401865420476764181349000693343173214208000000000000000000000000000000000000000000000000000000000000000,17.3074,1839661056,1796544.0,1754.4375,completed
20250914_231241,BA_CC,73,dr,471808237710632099774316034249611577700395182525197992955688107756607343068917077101222995109838909675677673889076459611560648990597406922144165674625552459440251657057337075851676751856243110637881445029683371783020113477580052334402833887872391525184329518438097751622771298622040086161653760000000000000000000000000000000000000000000000000000000000000000,18.5035,1977974784,1931616.0,1886.34375,completed
20250914_231301,BA_CC,74,dr,2171499301296135081739688644897974284812379629152953863370526338702216322904063123026687239885014021137945196785169961668046333221820527748796211094126803696783596012613022120955645657125366341683291902274897837364837204361016101189298380580268233484226977345929418654234811392993133984719356077015040000000000000000000000000000000000000000000000000000000000000000,20.0001,2130145280,2080220.0,2031.46484375,completed
20250914_231323,BA_CC,75,dr,10557395303041549540402018253764971377900827281015831092934824953502435318694974091531148022872961167968461957730139319637707662857847041809097419097425694213022487094121990947662158055812106079995828570480098305700365520162388080762130866705148097553614718460439647613158806030454018806908565375231721472000000000000000000000000000000000000000000000000000000000000000000,21.4897,2290589696,2236904.0,2184.4765625,completed
20250914_231346,BA_CC,76,dr,54179496955678928086389117476496456614249255523445143585832228178879147812010737540328698538581749417897349920875301974448751955020185233860107045066078920131810101518324645344307428926622147191930592640846816495023705812921359391663179394844149521835395373667130227585969676667686979115174066649151671422156800000000000000000000000000000000000000000000000000000000000000000000,23.1586,2457362432,2399768.0,2343.5234375,completed
20250914_231411,BA_CC,77,dr,293279034970785605624432931812022969298592645073960906744468434355090715021195323379553278059196867774020144856690097117888539207719764689408145445647191802565501260528843137713270543522698344964639491024167902369212821935924610523011956382230865776647178697197542634945612456769856386648348740178522912575276974080000000000000000000000000000000000000000000000000000000000000000000000,24.9327,2640216064,2578336.0,2517.90625,completed
20250914_231439,BA_CC,78,dr,1673362189832811430011326979039859455926980054998498745611913545899841092696434156606717138622359568458226740508816687125536638157486661388356055469229182267897980542199420290850607740177459946864743543936594800548017598119805050261149319530094650861815807492600019012209180994591769585299483406836598182280757831008256000000000000000000000000000000000000000000000000000000000000000000000000,27.0917,2834550784,2768116.0,2703.23828125,completed
20250914_231508,BA_CC,79,dr,10056913454343956025613795189337471489558973838461197455122582858512228566469940066942996429988935495872216543364950324891223697473047464890665446794289262346795934650540684745693315920897494990496896158033110497672787956770420831289708454973146972058116450293756084663453226614220513574728236473021582421900083687390942593024000000000000000000000000000000000000000000000000000000000000000000000000,28.8212,3032866816,2961784.0,2892.3671875,completed
20250914_231539,BA_CC,80,dr,63623252724485255883961064782209432633826727373733842684291098389463081824630111244302817174967602406246320962620552539365846301797689638087114629363648046169782057298408544720374538376692240508280324102488027603637311906675848713404708392865719152270703261822394993528097416594075519438074736964005897307314937433215067945099591680000000000000000000000000000000000000000000000000000000000000000000000000,30.8982,3251036160,3174840.0,3100.4296875,completed
20250914_231612,BA_CC,81,dr,423410201951340398497525527683012485800811517603103773710249888137941231019640405126385476186722395309473016153401272327378132504611552633884224373829903201338052800038616928772303737915351792892985225689093724181102165246451506153759798166185646329595439379297565786129747183536908818839609851505980686344288616020548948571919978646732800000000000000000000000000000000000000000000000000000000000000000000000000,33.1277,3482509312,3400888.0,3321.1796875,completed
20250914_231647,BA_CC,82,dr,2962279391300045749584327997796999273659069571915538745782598677386189958108848987961423123916594690959947494533072117507695985754063528999286165933163721973329338521742173301753942303352900827509618955375065076864794212583833885413180450322194666276968796803016801655552382435348262954718432027500202317029365786947605375956809431407417884672000000000000000000000000000000000000000000000000000000000000000000000000000,35.5801,3720540160,3633340.0,3548.18359375,completed
20250914_231726,BA_CC,83,dr,21774175420163160281404611261246887221045517706973729240100075926153641563279932309030681443886450944007274859615455938297969189365528888638672976968401275090517836217295410011076317821949430474592903939105308346193132563713219298051874636484285450575533601524638940233104676043378699883398740249499687127278012629642634363863008589371597012923842560000000000000000000000000000000000000000000000000000000000000000000000000000,37.9675,3978571776,3885324.0,3794.26171875,completed
20250914_231806,BA_CC,84,dr,168053172989520951704521915332748520559578189844494070170009346398357510199960770680828035506641403931651923395611527393607479395399909424628832590934028914753717021996430843647127065255076992200629930973630526237151981899268881395241560651884261044683770638701569439274862822121500979214871010840599583247080210587632370590832155744804343232134268573450240000000000000000000000000000000000000000000000000000000000000000000000000000,40.5823,4252852224,4153176.0,4055.8359375,completed
20250914_231850,BA_CC,85,dr,1361086175486348720788161625348076852804902100497135703476729497788793245160910276251921575493259660238999358850333145974662080670459222417388363190537430944638419681532172903016192699290004270611809899145769940268367102679644568063456733538101893997440114130733429108408612477157133440798330398739533708659757216778716837947032345878974648445107939973973776793600000000000000000000000000000000000000000000000000000000000000000000000000000,43.1623,4534923264,4428636.0,4324.83984375,completed
20250914_231936,BA_CC,86,dr,11561365413539653031093218241264141364632455520084780035186105234707523358910707286744597284986356071195313133933676815200894138872628136242228582380326856678566557227264213716258204350163140075516247881521981942026369210923490482935975455154015870030935766251558508201226604275717666015497994039581322018771882945906112139226441093012104038315404765885727534315732992000000000000000000000000000000000000000000000000000000000000000000000000000000,46.4959,4841582592,4728108.0,4617.29296875,completed
20250914_232026,BA_CC,87,dr,102937541868683383934580956068554583771314238319516445825682302845637210827930195184113461494658820188373166113029206218286377036983554421283581561509830594586151627597525107959802223088025530713564954312961487979387140378994171394059092343000192620090039069682051302450277169297194296782267629770935467099896961559510741920573756386920709273464271565444845959982873952911360000000000000000000000000000000000000000000000000000000000000000000000000000000,49.4668,5154844672,5034028.0,4916.04296875,completed
20250914_232118,BA_CC,88,dr,960156098032656384652839942586806993401959836779588819425801220730851822230168571391529358899119824836262009309246702753439278995086322877787884029876635460838004475513571296001532823986943419262619925251407056817012315113490873328369827374874876675447044824803514446683107313249737634894408252746186825502314902764030015908666947124386130990794400882980727382497855768217885081600000000000000000000000000000000000000000000000000000000000000000000000000000000,52.5719,5496066048,5367252.0,5241.45703125,completed
20250914_232215,BA_CC,89,dr,9377368372060330711337499910633820848288214353747201323277365325472747245218230273169657049805689365742652258966795159428275732062626552731206880529326279734816214062121196116684154331599778852002054550447568026031578043605169068325017232536024982550260265069622823057588354307282815610146777778078644616015660507104510206492059373758105645866117479401234805904074838351723047520986726400000000000000000000000000000000000000000000000000000000000000000000000000000000,56.1043,5856489472,5719228.0,5585.18359375,completed
20250914_232315,BA_CC,90,dr,95843831562419345721209865586609730773350249738205245396900364423978836134036679246801503988371997641807870502357461293678143471236410965093010036238916866862420168037565836421560737226241755699388519067032485377742511604957967806773603129614902700650398106812998164994076748169703910475563780443075087745588222284593493738105780764931895861042578888764964654792131944831756855180600293720064000000000000000000000000000000000000000000000000000000000000000000000000000000000,60.0431,6226333696,6080404.0,5937.89453125,completed
20250914_232419,BA_CC,91,dr,1024635733207725250914823885829456916584040047871236052859734787940142063881423246090195902658408747749322565022142864303099054845077673976300540534218663770228738042035844336115250942249838212820338853019542850778124313964892047272518423505711448003789198032543583222538876410122890201642900196307173979060005096213457971636092708308042120443730677274541832335693149139973966376542139948067213803520000000000000000000000000000000000000000000000000000000000000000000000000000000000,63.7858,6625738752,6470448.0,6318.796875,completed
20250914_232527,BA_CC,92,dr,11451964228484126193879638938839224763031513679838614293113169025587550594018392680716605329570024378270033566677782380027302958362592032517000147345559001867613918175378658523912435986168386766172055631435283016863799769946291753386974862522404683988110426514487263116692456862907697085486071192050686837841634158441258634947386485529829724193809162240189734119754764540815832083388412186366983140697702400000000000000000000000000000000000000000000000000000000000000000000000000000000000,67.8506,7035850752,6870948.0,6709.91015625,completed
20250914_232639,BA_CC,93,dr,133746803106612400770748670388366975653959266376014386012411114259695468134505167014528390647728540512353025823215819749396069612539210592244093700839942849271750893535156830181261905136301418938917467396194784236971305685216544610301276200907412960016102384637105876704064202154487219799566696287688448537942174838385953122032429921313749559076045577253441493400568709786315653951968262619848814081220024467456000000000000000000000000000000000000000000000000000000000000000000000000000000000000,72.358,7480332288,7305012.0,7133.80078125,completed
20250914_232756,BA_CC,94,dr,1631444039281670491051195364391981922494897747091688984636934821384222359086566565263885367234555328083844258403689862166412254718031740961035823939220426235188214486345417155178353443900225253422591022968653562901712934633494152022633408303773426915928256952212956032459681954137243725063993759584008846019612800447331209726364068309904802376607840255519788350266110724248317492168724675309966313557978183334126157824000000000000000000000000000000000000000000000000000000000000000000000000000000000000,76.9814,7935475712,7749488.0,7567.859375,completed
20250914_232918,BA_CC,95,dr,20775102056139862733734310985333088357796076993060044034383962663774536680632974224052063765730929767778727878479099369002283605785265435111203168490341967355609057147730084229129084858245370417628890152866968827631734817951148560803577895353745497564275291115731180449427432746735406298835408053419493766806032931200396144273270791390623536328152027225034978414191701862508439642425130385838666830783734622649762636439224320000000000000000000000000000000000000000000000000000000000000000000000000000000000000,81.8209,8425144320,8227680.0,8034.84375,completed
20250914_233046,BA_CC,96,dr,276056232105657513627824126883348424804257023711462975521848594442209839486382060213327974988830077805480891452769715759403304188297681459288049910392705607506556253929893722423190618942787162850185871728871823066558071183363989892188214500997313572354479784299257408823119817949380601233917088548549686054315876624521871901720138552671983050962671633441908787571233063676714144618202344546162470660761340268230421950982582488268800000000000000000000000000000000000000000000000000000000000000000000000000000000000000,87.7733,8927289344,8718056.0,8513.7265625,completed
20250914_233219,BA_CC,97,dr,3825962700995865518072920591162003824795127624145701504428487535868585360983984070038189203441192027134169647764858487807243777935125354509598427406100248388452065483465811860803071136550906693319352063204256989735732269435867546952197652526542127832146782943325756161546793880094927529517301140346227576913743287854833450559824019451359975017190012729659452974113244673398504947355728845909302299376929288859901980770569964434613075968000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.8939,9470255104,9248296.0,9031.5390625,completed
20250914_233358,BA_CC,98,dr,55281794182213380374497798372170732704923774456596138521667747824269494111100903906070200383226196543104873340912172073345402216637978462351728829402031220994550508418455531474166871220560436920574516283485893755530363848951182490017938145074310390102028724362067049868929010388757219265299026252999483806135906415409031107152964435935034442220380556732376995157319165875295805804936608782005018039973176526251386908391657884511456488230748160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99.2192,10025476096,9790504.0,9561.0390625,completed
