timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251119_095720,4-regular-graph-3-colored,2,recursive,0,0.5499,25251840,24660.0,24.08203125,0
20251119_095720,4-regular-graph-3-colored,3,recursive,0,0.5401,25092096,24504.0,23.9296875,0
20251119_095721,4-regular-graph-3-colored,4,recursive,0,0.5446,25264128,24672.0,24.09375,0
20251119_095721,4-regular-graph-3-colored,5,recursive,0,0.59,26574848,25952.0,25.34375,0
20251119_095722,4-regular-graph-3-colored,6,recursive,90,0.8815,79355904,77496.0,75.6796875,90
20251119_095724,4-regular-graph-3-colored,7,recursive,1260,1.598,86880256,84844.0,82.85546875,1260
20251119_095728,4-regular-graph-3-colored,8,recursive,93870,4.1046,123080704,120196.0,117.37890625,93870
20251119_095740,4-regular-graph-3-colored,9,recursive,6032880,11.9145,245608448,239852.0,234.23046875,6032880
20251119_095815,4-regular-graph-3-colored,10,recursive,540895320,34.886,611102720,596780.0,582.79296875,540895320
20251119_100000,4-regular-graph-3-colored,11,recursive,58675201200,105.7262,1609367552,1571648.0,1534.8125,58675201200
20251119_100517,4-regular-graph-3-colored,12,recursive,7296990624000,316.5808,4160417792,4062908.0,3967.68359375,7296990624000
20251119_102046,4-regular-graph-3-colored,13,recursive,1082893446835200,929.1209,10286829568,10045732.0,9810.28515625,1082893446835200
20251119_110559,4-regular-graph-3-colored,14,recursive,183659229959505300,2713.1768,24225406976,23657624.0,23103.1484375,183659229959505300
20251119_132711,4-regular-graph-3-colored,15,recursive,35799311925219843000,8471.9419,54470283264,53193636.0,51946.91015625,35799311925219843000
20251119_173714,4-regular-graph-3-colored,16,recursive,timeout,15002.559,78979149824,77128076.0,75320.38671875,timeout
20251118_194824,4-regular-graph-3-colored,2,fast,0,0.5515,25509888,24912.0,24.328125,0
20251118_194825,4-regular-graph-3-colored,3,fast,0,0.5937,27099136,26464.0,25.84375,0
20251118_194825,4-regular-graph-3-colored,4,fast,0,0.6798,27090944,26456.0,25.8359375,0
20251118_194826,4-regular-graph-3-colored,5,fast,0,1.0378,79388672,77528.0,75.7109375,0
20251118_194828,4-regular-graph-3-colored,6,fast,90,1.5448,79478784,77616.0,75.796875,90
20251118_194831,4-regular-graph-3-colored,7,fast,1260,2.7115,80437248,78552.0,76.7109375,1260
20251118_194836,4-regular-graph-3-colored,8,fast,93870,5.0415,84279296,82304.0,80.375,93870
20251118_194845,4-regular-graph-3-colored,9,fast,6032880,9.6486,91725824,89576.0,87.4765625,6032880
20251118_194904,4-regular-graph-3-colored,10,fast,540895320,18.1013,105889792,103408.0,100.984375,540895320
20251118_194937,4-regular-graph-3-colored,11,fast,58675201200,33.254,121483264,118636.0,115.85546875,58675201200
20251118_195036,4-regular-graph-3-colored,12,fast,7296990624000,59.0116,157626368,153932.0,150.32421875,7296990624000
20251118_195225,4-regular-graph-3-colored,13,fast,1082893446835200,109.1441,209440768,204532.0,199.73828125,1082893446835200
20251118_195525,4-regular-graph-3-colored,14,fast,183659229959505300,180.4575,295608320,288680.0,281.9140625,183659229959505300
20251118_200041,4-regular-graph-3-colored,15,fast,35799311925219843000,316.0467,397840384,388516.0,379.41015625,35799311925219843000
20251118_200910,4-regular-graph-3-colored,16,fast,7924259094412540779900,508.7384,598851584,584816.0,571.109375,7924259094412540779900
20251118_202259,4-regular-graph-3-colored,17,fast,1977199793733229843377600,828.7054,936820736,914864.0,893.421875,1977199793733229843377600
20251118_204604,4-regular-graph-3-colored,18,fast,553129073421501770104111200,1384.7587,1268850688,1239112.0,1210.0703125,553129073421501770104111200
20251118_212540,4-regular-graph-3-colored,19,fast,172326566338458706624855204800,2376.2249,1929523200,1884300.0,1840.13671875,172326566338458706624855204800
20251118_222230,4-regular-graph-3-colored,20,fast,59498979226291159957522107187200,3410.3957,2618445824,2557076.0,2497.14453125,59498979226291159957522107187200
20251118_235058,4-regular-graph-3-colored,21,fast,22652944519830673723735987390464000,5307.5347,3904618496,3813104.0,3723.734375,22652944519830673723735987390464000
20251119_021100,4-regular-graph-3-colored,22,fast,9468470825966444541002654320655235000,8401.8238,5200781312,5078888.0,4959.8515625,9468470825966444541002654320655235000
20251119_054719,4-regular-graph-3-colored,23,fast,4327353092966345307615437774141169114000,12978.8627,7618445312,7439888.0,7265.515625,4327353092966345307615437774141169114000
20251119_095719,4-regular-graph-3-colored,24,fast,timeout,15000.4587,7910756352,7725348.0,7544.28515625,timeout
20251119_173714,4-regular-graph-3-colored,2,dr,0,0.2301,19927040,19460.0,19.00390625,0
20251119_173714,4-regular-graph-3-colored,3,dr,0,0.2219,17182720,16780.0,16.38671875,0
20251119_173714,4-regular-graph-3-colored,4,dr,0,0.2201,18894848,18452.0,18.01953125,0
20251119_173715,4-regular-graph-3-colored,5,dr,0,0.2661,23613440,23060.0,22.51953125,0
20251119_173715,4-regular-graph-3-colored,6,dr,90,0.275,23605248,23052.0,22.51171875,90
20251119_173715,4-regular-graph-3-colored,7,dr,1260,0.2744,23711744,23156.0,22.61328125,1260
20251119_173716,4-regular-graph-3-colored,8,dr,93870,0.3049,23605248,23052.0,22.51171875,93870
20251119_173716,4-regular-graph-3-colored,9,dr,6032880,0.4334,24371200,23800.0,23.2421875,6032880
20251119_173717,4-regular-graph-3-colored,10,dr,540895320,0.7674,24596480,24020.0,23.45703125,540895320
20251119_173718,4-regular-graph-3-colored,11,dr,58675201200,1.7308,77418496,75604.0,73.83203125,58675201200
20251119_173722,4-regular-graph-3-colored,12,dr,7296990624000,3.7433,77717504,75896.0,74.1171875,7296990624000
20251119_173730,4-regular-graph-3-colored,13,dr,1082893446835200,8.0328,79249408,77392.0,75.578125,1082893446835200
20251119_173747,4-regular-graph-3-colored,14,dr,183659229959505300,16.6368,84865024,82876.0,80.93359375,183659229959505300
20251119_173820,4-regular-graph-3-colored,15,dr,35799311925219843000,32.7167,94818304,92596.0,90.42578125,35799311925219843000
