timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20250815_223830,3-regular-directed-graph,2,fast,0,13.6045,176001024,171876.0,167.84765625,completed
20250815_223844,3-regular-directed-graph,3,fast,0,13.9735,176410624,172276.0,168.23828125,completed
20250815_223900,3-regular-directed-graph,4,fast,1,15.9838,178245632,174068.0,169.98828125,completed
20250815_223927,3-regular-directed-graph,5,fast,44,27.1255,186396672,182028.0,177.76171875,completed
20250815_224115,3-regular-directed-graph,6,fast,7570,107.2548,216002560,210940.0,205.99609375,completed
20250815_225525,3-regular-directed-graph,7,fast,1975560,850.7286,318083072,310628.0,303.34765625,completed
20250816_015630,3-regular-directed-graph,8,fast,749649145,10864.9392,608329728,594072.0,580.1484375,completed
20250816_060631,3-regular-directed-graph,9,fast,timeout,15000.1549,689545216,673384.0,657.6015625,timeout
20250816_060631,3-regular-directed-graph,2,dr,0,0.0823,4149248,4052.0,3.95703125,completed
20250816_060631,3-regular-directed-graph,3,dr,0,0.0802,3960832,3868.0,3.77734375,completed
20250816_060631,3-regular-directed-graph,4,dr,1,0.0809,3973120,3880.0,3.7890625,completed
20250816_060631,3-regular-directed-graph,5,dr,44,0.2302,33972224,33176.0,32.3984375,completed
20250816_060632,3-regular-directed-graph,6,dr,7570,0.1587,17035264,16636.0,16.24609375,completed
20250816_060632,3-regular-directed-graph,7,dr,1975560,0.2298,18636800,18200.0,17.7734375,completed
20250816_060633,3-regular-directed-graph,8,dr,749649145,0.7362,19877888,19412.0,18.95703125,completed
20250816_060636,3-regular-directed-graph,9,dr,399035751464,3.2693,60071936,58664.0,57.2890625,completed
20250816_060649,3-regular-directed-graph,10,dr,289021136349036,13.1931,63176704,61696.0,60.25,completed
20250816_060735,3-regular-directed-graph,11,dr,277435664056527360,45.4154,68456448,66852.0,65.28515625,completed
20250816_060950,3-regular-directed-graph,12,dr,345023964977303838105,135.1946,76578816,74784.0,73.03125,completed
20250816_061548,3-regular-directed-graph,13,dr,545099236551025860229460,357.8061,88612864,86536.0,84.5078125,completed
20250816_063032,3-regular-directed-graph,14,dr,1075595203804151695555622446,883.5962,110419968,107832.0,105.3046875,completed
20250816_070337,3-regular-directed-graph,15,dr,2611622753503586937370245737384,1985.4106,145809408,142392.0,139.0546875,completed
20250816_081853,3-regular-directed-graph,16,dr,7701587744729703975780792390813585,4515.4016,207712256,202844.0,198.08984375,completed
20250816_110244,3-regular-directed-graph,17,dr,27266595997371708573627909007532932880,9831.5782,313540608,306192.0,299.015625,completed
20250816_151244,3-regular-directed-graph,18,dr,timeout,15000.1622,382742528,373772.0,365.01171875,timeout
