timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251021_143911,m-odd-degree-graph-sc2,2,dr,0,1.5675,116662272,113928,111.2578125,completed
20251021_143913,m-odd-degree-graph-sc2,3,dr,0,1.4825,116088832,113368,110.7109375,completed
20251021_143915,m-odd-degree-graph-sc2,4,dr,12,1.55,116174848,113452,110.7929688,completed
20251021_143917,m-odd-degree-graph-sc2,5,dr,75,1.8685,116285440,113560,110.8984375,completed
20251021_143920,m-odd-degree-graph-sc2,6,dr,270,3.2845,120459264,117636,114.8789063,completed
20251021_143929,m-odd-degree-graph-sc2,7,dr,735,8.8043,134717440,131560,128.4765625,completed
20251021_143957,m-odd-degree-graph-sc2,8,dr,1680,28.09,181432320,177180,173.0273438,completed
20251021_144804,m-odd-degree-graph-sc2,9,dr,3402,486.279,277000192,270508,264.1679688,completed
20251021_043409,m-odd-degree-graph-sc2,10,dr,6300,24681.9366,495403008,483792.0,472.453125,completed
20251021_182730,m-odd-degree-graph-sc2,11,dr,timeout,50000.2173,856510464,836436.0,816.83203125,timeout
20251026_190456,m-odd-degree-graph-sc2,2,fast,0,1.5048,116719616,113984.0,111.3125,completed
20251026_190457,m-odd-degree-graph-sc2,3,fast,0,1.5276,116895744,114156.0,111.48046875,completed
20251026_190459,m-odd-degree-graph-sc2,4,fast,12,1.5489,116957184,114216.0,111.5390625,completed
20251026_190501,m-odd-degree-graph-sc2,5,fast,0,1.8577,117243904,114496.0,111.8125,completed
20251026_190504,m-odd-degree-graph-sc2,6,fast,1440,3.2689,121335808,118492.0,115.71484375,completed
20251026_190512,m-odd-degree-graph-sc2,7,fast,0,7.7836,135049216,131884.0,128.79296875,completed
20251026_190540,m-odd-degree-graph-sc2,8,fast,89600,28.1756,181370880,177120.0,172.96875,completed
