timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251108_013613,4-regular-graph,2,recursive,0,0.3331,19988480,19520.0,19.0625,0
20251108_013613,4-regular-graph,5,recursive,1,0.3296,19759104,19296.0,18.84375,1
20251108_013614,4-regular-graph,8,recursive,19355,0.4088,21778432,21268.0,20.76953125,19355
20251108_013614,4-regular-graph,11,recursive,5188453830,0.8001,32731136,31964.0,31.21484375,5188453830
20251108_013617,4-regular-graph,14,recursive,6551246596501035,2.4604,73007104,71296.0,69.625,6551246596501035
20251108_013624,4-regular-graph,17,recursive,28797220460586826422720,7.5262,247861248,242052.0,236.37890625,28797220460586826422720
20251108_013646,4-regular-graph,20,recursive,357920518512934324278467820756,21.7233,599797760,585740.0,572.01171875,357920518512934324278467820756
20251108_013748,4-regular-graph,23,recursive,10820717276301729136958239832174266995,61.6518,1421443072,1388128.0,1355.59375,10820717276301729136958239832174266995
20251108_014031,4-regular-graph,26,recursive,710541562719038564497177435238522052461905950,163.0936,3183562752,3108948.0,3036.08203125,710541562719038564497177435238522052461905950
20251108_014709,4-regular-graph,29,recursive,92806550484635529288139898051471032653850237781032275,398.2145,6720688128,6563172.0,6409.34765625,92806550484635529288139898051471032653850237781032275
20251108_020233,4-regular-graph,32,recursive,22476328600546173080239697209124296987246689133867853784814665,923.5561,13472174080,13156420.0,12848.06640625,22476328600546173080239697209124296987246689133867853784814665
20251108_023653,4-regular-graph,35,recursive,9531099231705475033605002655084696725795231760798413523105145502142456,2060.521,25746776064,25143336.0,24554.0390625,9531099231705475033605002655084696725795231760798413523105145502142456
20251108_035446,4-regular-graph,38,recursive,6747585899282485840624265233443334439009355698573231959003015073131753785087135,4672.6065,47337287680,46227820.0,45144.35546875,6747585899282485840624265233443334439009355698573231959003015073131753785087135
20251108_065458,4-regular-graph,41,recursive,7661004637055134182895094633487433093953640276393238804618590583829648033219052642534620,10812.035,83998035968,82029332.0,80106.76953125,7661004637055134182895094633487433093953640276393238804618590583829648033219052642534620
20251108_122822,4-regular-graph,44,recursive,timeout,20003.9996,120006959104,117194296.0,114447.5546875,timeout
20251107_081525,4-regular-graph,2,fast,0,0.3375,19779584,19316.0,18.86328125,0
20251107_081525,4-regular-graph,5,fast,1,0.3437,19718144,19256.0,18.8046875,1
20251107_081525,4-regular-graph,8,fast,19355,0.3382,19812352,19348.0,18.89453125,19355
20251107_081526,4-regular-graph,11,fast,5188453830,0.361,19824640,19360.0,18.90625,5188453830
20251107_081526,4-regular-graph,14,fast,6551246596501035,0.5529,22847488,22312.0,21.7890625,6551246596501035
20251107_081528,4-regular-graph,17,fast,28797220460586826422720,1.2742,24690688,24112.0,23.546875,28797220460586826422720
