timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251126_164205,m-odd-degree-graph-sc2,0,dr,0,67.201,108740608,106192.0,103.703125,0
20251126_164529,m-odd-degree-graph-sc2,3,dr,0,65.429,105996288,103512.0,101.0859375,0
20251126_164917,m-odd-degree-graph-sc2,6,dr,8400,67.8646,105996288,103512.0,101.0859375,8400
20251126_165240,m-odd-degree-graph-sc2,9,dr,0,68.0321,105984000,103500.0,101.07421875,0
20251126_165609,m-odd-degree-graph-sc2,12,dr,3468780,68.0465,106008576,103524.0,101.09765625,3468780
20251126_165923,m-odd-degree-graph-sc2,15,dr,0,62.908,105996288,103512.0,101.0859375,0
20251126_170333,m-odd-degree-graph-sc2,18,dr,362849760,82.0573,105979904,103496.0,101.0703125,362849760
20251126_170644,m-odd-degree-graph-sc2,21,dr,0,64.1524,105992192,103508.0,101.08203125,0
20251126_171005,m-odd-degree-graph-sc2,24,dr,11794618080,65.2553,105979904,103496.0,101.0703125,11794618080
20251126_171344,m-odd-degree-graph-sc2,27,dr,0,86.9191,106012672,103528.0,101.1015625,0
20251126_171749,m-odd-degree-graph-sc2,30,dr,141463586880,94.5939,106070016,103584.0,101.15625,141463586880
20251126_172119,m-odd-degree-graph-sc2,33,dr,0,70.3444,106070016,103584.0,101.15625,0
20251126_172452,m-odd-degree-graph-sc2,36,dr,703744387500,71.2353,106065920,103580.0,101.15234375,703744387500
20251126_172828,m-odd-degree-graph-sc2,39,dr,0,72.2987,106074112,103588.0,101.16015625,0
20251126_173200,m-odd-degree-graph-sc2,42,dr,1547846025600,69.499,106070016,103584.0,101.15625,1547846025600
20251126_173419,m-odd-degree-graph-sc2,44,dr,1688522237640,69.2449,106053632,103568.0,101.140625,1688522237640
