timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251108_125211,5-regular-graph,2,fast,0,0.4389,22253568,21732.0,21.22265625,0
20251108_125211,5-regular-graph,5,fast,0,0.4368,22220800,21700.0,21.19140625,0
20251108_125212,5-regular-graph,8,fast,3507,0.4618,22265856,21744.0,21.234375,3507
20251108_125212,5-regular-graph,11,fast,0,0.6788,24928256,24344.0,23.7734375,0
20251108_125214,5-regular-graph,14,fast,283097260184159421,1.7727,27021312,26388.0,25.76953125,283097260184159421
20251108_125221,5-regular-graph,17,fast,0,6.6361,84119552,82148.0,80.22265625,0
20251108_125246,5-regular-graph,20,fast,10148613081040117624319536901932188,24.9957,91901952,89748.0,87.64453125,10148613081040117624319536901932188
20251108_125409,5-regular-graph,23,fast,0,83.361,105832448,103352.0,100.9296875,0
20251108_125813,5-regular-graph,26,fast,30467359843410315617245696171806527102000553683468790,243.4349,122081280,119220.0,116.42578125,30467359843410315617245696171806527102000553683468790
20251108_130827,5-regular-graph,29,fast,0,614.6215,155062272,151428.0,147.87890625,0
20251108_133150,5-regular-graph,32,fast,2843010110633181076329146335157835526653886525505773678128750092593623465,1402.8183,197951488,193312.0,188.78125,2843010110633181076329146335157835526653886525505773678128750092593623465
20251108_142308,5-regular-graph,35,fast,0,3078.3417,244760576,239024.0,233.421875,0
20251108_160713,5-regular-graph,38,fast,4368127725684375563973549518707470526400222420810173610619941575006909579571141732240620282545,6244.3097,327520256,319844.0,312.34765625,4368127725684375563973549518707470526400222420810173610619941575006909579571141732240620282545
