timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251117_195831,3-regular-graph-4-colored,2,recursive,0,0.5202,24555520,23980.0,23.41796875,0
20251117_195831,3-regular-graph-4-colored,3,recursive,0,0.5034,24477696,23904.0,23.34375,0
20251117_195832,3-regular-graph-4-colored,4,recursive,24,0.5099,24563712,23988.0,23.42578125,24
20251117_195832,3-regular-graph-4-colored,5,recursive,0,0.5753,26861568,26232.0,25.6171875,0
20251117_195833,3-regular-graph-4-colored,6,recursive,20040,0.6505,27172864,26536.0,25.9140625,20040
20251117_195834,3-regular-graph-4-colored,7,recursive,0,1.0363,32428032,31668.0,30.92578125,0
20251117_195836,3-regular-graph-4-colored,8,recursive,35189280,2.1261,49303552,48148.0,47.01953125,35189280
20251117_195842,3-regular-graph-4-colored,9,recursive,0,5.5182,148144128,144672.0,141.28125,0
20251117_195856,3-regular-graph-4-colored,10,recursive,138105535680,14.178,288485376,281724.0,275.12109375,138105535680
20251117_195933,3-regular-graph-4-colored,11,recursive,0,37.3074,656216064,640836.0,625.81640625,0
20251117_200113,3-regular-graph-4-colored,12,recursive,968435572104000,99.9062,1557757952,1521248.0,1485.59375,968435572104000
20251117_200544,3-regular-graph-4-colored,13,recursive,0,270.8144,3658141696,3572404.0,3488.67578125,0
20251117_201756,3-regular-graph-4-colored,14,recursive,11073461492650677120,732.5466,8294305792,8099908.0,7910.06640625,11073461492650677120
20251117_201756,3-regular-graph-4-colored,15,recursive,0,1890.661,18127093760,17702240.0,17287.34375,11073461492650677120
20251117_201756,3-regular-graph-4-colored,16,recursive,193082071362883576473600,5094.108,38179135488,37284312.0,36410.4609375,11073461492650677120
20251117_201756,3-regular-graph-4-colored,17,recursive,0,14398.7817,77697503232,75876468.0,74098.11328125,11073461492650677120
20251117_201756,3-regular-graph-4-colored,18,recursive,timeout,14398.7817,77697503232,75876468.0,74098.11328125,11073461492650677120
20251117_065830,3-regular-graph-4-colored,2,fast,0,0.5273,24793088,24212.0,23.64453125,0
20251117_065831,3-regular-graph-4-colored,3,fast,0,0.5648,26431488,25812.0,25.20703125,0
20251117_065831,3-regular-graph-4-colored,4,fast,24,0.7243,26497024,25876.0,25.26953125,24
20251117_065832,3-regular-graph-4-colored,5,fast,0,1.0562,26554368,25932.0,25.32421875,0
20251117_065834,3-regular-graph-4-colored,6,fast,20040,1.9523,28020736,27364.0,26.72265625,20040
20251117_065839,3-regular-graph-4-colored,7,fast,0,4.3939,31326208,30592.0,29.875,0
20251117_065848,3-regular-graph-4-colored,8,fast,35189280,9.2732,38633472,37728.0,36.84375,35189280
20251117_065906,3-regular-graph-4-colored,9,fast,0,18.1808,57012224,55676.0,54.37109375,0
20251117_065947,3-regular-graph-4-colored,10,fast,138105535680,40.892,133062656,129944.0,126.8984375,138105535680
20251117_070104,3-regular-graph-4-colored,11,fast,0,77.2871,175534080,171420.0,167.40234375,0
20251117_070324,3-regular-graph-4-colored,12,fast,968435572104000,139.9322,237064192,231508.0,226.08203125,968435572104000
20251117_070802,3-regular-graph-4-colored,13,fast,0,277.752,362299392,353808.0,345.515625,0
20251117_071607,3-regular-graph-4-colored,14,fast,11073461492650677120,484.994,575668224,562176.0,549.0,11073461492650677120
20251117_073154,3-regular-graph-4-colored,15,fast,0,947.1811,942854144,920756.0,899.17578125,0
20251117_075935,3-regular-graph-4-colored,16,fast,193082071362883576473600,1661.2321,1400201216,1367384.0,1335.3359375,193082071362883576473600
20251117_084659,3-regular-graph-4-colored,17,fast,0,2843.3016,2274123776,2220824.0,2168.7734375,0
20251117_100247,3-regular-graph-4-colored,18,fast,4877492580867643629103411200,4548.0316,3675062272,3588928.0,3504.8125,4877492580867643629103411200
20251117_121438,3-regular-graph-4-colored,19,fast,0,7911.2731,5237981184,5115216.0,4995.328125,0
