timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251124_013311,BA,2,incremental,0,0.4877,77651968,75832.0,74.0546875,0
20251124_013312,BA,5,incremental,480,0.4892,77664256,75844.0,74.06640625,480
20251124_013313,BA,8,incremental,1128960000,0.9472,80130048,78252.0,76.41796875,1128960000
20251124_013317,BA,11,incremental,630902587392000000,4.6617,119185408,116392.0,113.6640625,630902587392000000
20251124_013343,BA,14,incremental,14304991388221204070400000000,25.5772,382513152,373548.0,364.79296875,14304991388221204070400000000
20251124_013545,BA,17,incremental,5413131420909049005285467750400000000000,121.5309,1479385088,1444712.0,1410.8515625,5413131420909049005285467750400000000000
20251124_014440,BA,20,incremental,19907994923329325546161478576912644177920000000000000,535.4175,5103468544,4983856.0,4867.046875,19907994923329325546161478576912644177920000000000000
20251124_022112,BA,23,incremental,493940396516708584481461037004258592440373645148160000000000000000,2192.0535,15443910656,15081944.0,14728.4609375,493940396516708584481461037004258592440373645148160000000000000000
20251124_042551,BA,26,incremental,63526664015477120206143884265934556345931580639910384841523200000000000000000000,7478.7577,41592442880,40617620.0,39665.64453125,63526664015477120206143884265934556345931580639910384841523200000000000000000000
20251124_083554,BA,29,incremental,timeout,15003.2317,88188948480,86122020.0,84103.53515625,timeout
20251124_083555,BA,2,recursive,0,0.4863,77541376,75724.0,73.94921875,0
20251124_083555,BA,5,recursive,480,0.4872,77545472,75728.0,73.953125,480
20251124_083556,BA,8,recursive,1128960000,0.7773,80498688,78612.0,76.76953125,1128960000
20251124_083559,BA,11,recursive,630902587392000000,3.0205,136126464,132936.0,129.8203125,630902587392000000
20251124_083614,BA,14,recursive,14304991388221204070400000000,14.9455,431226880,421120.0,411.25,14304991388221204070400000000
20251124_083721,BA,17,recursive,5413131420909049005285467750400000000000,67.6047,1564553216,1527884.0,1492.07421875,5413131420909049005285467750400000000000
20251124_084159,BA,20,recursive,19907994923329325546161478576912644177920000000000000,277.3439,5161361408,5040392.0,4922.2578125,19907994923329325546161478576912644177920000000000000
20251124_085929,BA,23,recursive,493940396516708584481461037004258592440373645148160000000000000000,1049.9348,15067213824,14714076.0,14369.21484375,493940396516708584481461037004258592440373645148160000000000000000
20251124_100133,BA,26,recursive,63526664015477120206143884265934556345931580639910384841523200000000000000000000,3724.1204,39488405504,38562896.0,37659.078125,63526664015477120206143884265934556345931580639910384841523200000000000000000000
20251124_134320,BA,29,recursive,34699159453670094525607438103584771373874607242895754949888482910142464000000000000000000000000,13306.8598,94497058816,92282284.0,90119.41796875,34699159453670094525607438103584771373874607242895754949888482910142464000000000000000000000000
20251124_175323,BA,32,recursive,timeout,15003.8094,100490244096,98135004.0,95834.96484375,timeout
20251124_175324,BA,2,dr,0,0.3372,75808768,74032.0,72.296875,0
20251124_175324,BA,5,dr,480,0.3323,75808768,74032.0,72.296875,480
20251124_175324,BA,8,dr,1128960000,0.3319,75808768,74032.0,72.296875,1128960000
20251124_175325,BA,11,dr,630902587392000000,0.3376,75862016,74084.0,72.34765625,630902587392000000
20251124_175325,BA,14,dr,14304991388221204070400000000,0.3371,75829248,74052.0,72.31640625,14304991388221204070400000000
20251124_175325,BA,17,dr,5413131420909049005285467750400000000000,0.3394,75804672,74028.0,72.29296875,5413131420909049005285467750400000000000
20251124_175326,BA,20,dr,19907994923329325546161478576912644177920000000000000,0.3403,75816960,74040.0,72.3046875,19907994923329325546161478576912644177920000000000000
20251124_175326,BA,23,dr,493940396516708584481461037004258592440373645148160000000000000000,0.3345,75825152,74048.0,72.3125,493940396516708584481461037004258592440373645148160000000000000000
