timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251123_161852,BA_CC,2,incremental,0,0.4126,25427968,24832.0,24.25,0
20251123_161853,BA_CC,5,incremental,480,0.4789,29114368,28432.0,27.765625,480
20251123_161915,BA_CC,8,incremental,1128960000,22.6422,711868416,695184.0,678.890625,1128960000
20251123_170434,BA_CC,11,incremental,630902587392000000,2719.1131,21403254784,20901616.0,20411.734375,630902587392000000
20251123_211436,BA_CC,14,incremental,timeout,15002.0957,63963713536,62464564.0,61000.55078125,timeout
20251123_211437,BA_CC,2,recursive,0,0.4039,25227264,24636.0,24.05859375,0
20251123_211437,BA_CC,5,recursive,480,0.554,28471296,27804.0,27.15234375,480
20251123_211450,BA_CC,8,recursive,1128960000,12.2681,274862080,268420.0,262.12890625,1128960000
20251123_212239,BA_CC,11,recursive,630902587392000000,469.3509,6405681152,6255548.0,6108.93359375,630902587392000000
20251124_013242,BA_CC,14,recursive,timeout,15002.4453,68399230976,66796124.0,65230.58984375,timeout
20251124_013242,BA_CC,2,dr,python_error: 'flint.types.fmpq.fmpq' object has no attribute 'context',0.2025,16900096,16504.0,16.1171875,python_error: 'flint.types.fmpq.fmpq' object has no attribute 'context'
20251124_013242,BA_CC,5,dr,480,0.1961,17707008,17292.0,16.88671875,480
20251124_013242,BA_CC,8,dr,1128960000,0.1888,17313792,16908.0,16.51171875,1128960000
20251124_013242,BA_CC,11,dr,630902587392000000,0.1908,15941632,15568.0,15.203125,630902587392000000
20251124_013242,BA_CC,14,dr,14304991388221204070400000000,0.1916,15917056,15544.0,15.1796875,14304991388221204070400000000
20251124_013243,BA_CC,17,dr,5413131420909049005285467750400000000000,0.201,18022400,17600.0,17.1875,5413131420909049005285467750400000000000
20251124_013243,BA_CC,20,dr,19907994923329325546161478576912644177920000000000000,0.2022,17436672,17028.0,16.62890625,19907994923329325546161478576912644177920000000000000
20251124_013243,BA_CC,23,dr,493940396516708584481461037004258592440373645148160000000000000000,0.2405,24633344,24056.0,23.4921875,493940396516708584481461037004258592440373645148160000000000000000
20251124_013243,BA_CC,26,dr,63526664015477120206143884265934556345931580639910384841523200000000000000000000,0.2537,25116672,24528.0,23.953125,63526664015477120206143884265934556345931580639910384841523200000000000000000000
20251124_013244,BA_CC,29,dr,34699159453670094525607438103584771373874607242895754949888482910142464000000000000000000000000,0.2522,25149440,24560.0,23.984375,34699159453670094525607438103584771373874607242895754949888482910142464000000000000000000000000
20251124_013244,BA_CC,32,dr,68861448553346729505814129081220684905545779979361556482474159814236334142712184832000000000000000000000000000,0.2497,25202688,24612.0,24.03515625,68861448553346729505814129081220684905545779979361556482474159814236334142712184832000000000000000000000000000
20251124_013244,BA_CC,35,dr,437909814170918746711375848076270952535979283340001642896338218056682574286017169299131321653657600000000000000000000000000000,0.2466,24629248,24052.0,23.48828125,437909814170918746711375848076270952535979283340001642896338218056682574286017169299131321653657600000000000000000000000000000
20251124_013244,BA_CC,38,dr,8048248574944895693820910351356417065731749728992094246337455366679117695536606768836133907556878646123272601600000000000000000000000000000000,0.2546,25702400,25100.0,24.51171875,8048248574944895693820910351356417065731749728992094246337455366679117695536606768836133907556878646123272601600000000000000000000000000000000
20251124_013245,BA_CC,41,dr,392104683184467115281706082718597471608842570867122173987177290055284656038807138791214137615963003475242048523512528471326720000000000000000000000000000000000,0.2518,24678400,24100.0,23.53515625,392104683184467115281706082718597471608842570867122173987177290055284656038807138791214137615963003475242048523512528471326720000000000000000000000000000000000
20251124_013245,BA_CC,44,dr,47056746517199420144167519589920756034332697026782158997001734839430421964971839081424809168893389312633481833360691159851532194694251413504000000000000000000000000000000000000,0.2824,26238976,25624.0,25.0234375,47056746517199420144167519589920756034332697026782158997001734839430421964971839081424809168893389312633481833360691159851532194694251413504000000000000000000000000000000000000
20251124_013245,BA_CC,47,dr,13060609343238096180748134440372777854703235958409517125671106139034147494829781953251828615602941961566039508699696927796506420944347047382333825554055168000000000000000000000000000000000000000,0.3244,36708352,35848.0,35.0078125,13060609343238096180748134440372777854703235958409517125671106139034147494829781953251828615602941961566039508699696927796506420944347047382333825554055168000000000000000000000000000000000000000
20251124_013246,BA_CC,50,dr,7936286103257135616256453842553728613499780845748441995720152102940714865623399068394768279732405269354169174286886812212684294437016588108135489697166511979293518594048000000000000000000000000000000000000000000,0.3268,37093376,36224.0,35.375,7936286103257135616256453842553728613499780845748441995720152102940714865623399068394768279732405269354169174286886812212684294437016588108135489697166511979293518594048000000000000000000000000000000000000000000
20251124_013246,BA_CC,53,dr,10062364847749925663524648927136062296478260757810743623650308920834367151107203042005859067284164574305845229142401132940008797165686229436388245636854585384505022991483520696713216000000000000000000000000000000000000000000000000,0.3619,37629952,36748.0,35.88671875,10062364847749925663524648927136062296478260757810743623650308920834367151107203042005859067284164574305845229142401132940008797165686229436388245636854585384505022991483520696713216000000000000000000000000000000000000000000000000
