timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251113_130639,5-regular-graph-2-colored,2,fast,0,0.5722,23085056,22544.0,22.015625,0
20251113_130640,5-regular-graph-2-colored,5,fast,0,0.5768,22589440,22060.0,21.54296875,0
20251113_130641,5-regular-graph-2-colored,8,fast,0,0.8532,24399872,23828.0,23.26953125,0
20251113_130642,5-regular-graph-2-colored,11,fast,0,1.8394,27144192,26508.0,25.88671875,0
20251113_130647,5-regular-graph-2-colored,14,fast,10676746080,4.8579,33280000,32500.0,31.73828125,10676746080
20251113_130700,5-regular-graph-2-colored,17,fast,0,12.5597,52768768,51532.0,50.32421875,0
20251113_130731,5-regular-graph-2-colored,20,fast,1244556745912502206696512,31.3872,131166208,128092.0,125.08984375,1244556745912502206696512
20251113_130841,5-regular-graph-2-colored,23,fast,0,69.5324,189251584,184816.0,180.484375,0
20251113_131116,5-regular-graph-2-colored,26,fast,9207472042250981509330894474503098496000,155.3545,293867520,286980.0,280.25390625,9207472042250981509330894474503098496000
20251113_131632,5-regular-graph-2-colored,29,fast,0,315.3466,474210304,463096.0,452.2421875,0
20251113_132709,5-regular-graph-2-colored,32,fast,1913557228358679744616653166937559376497552075229376102400,637.5248,693735424,677476.0,661.59765625,1913557228358679744616653166937559376497552075229376102400
20251113_134748,5-regular-graph-2-colored,35,fast,0,1239.1876,1112326144,1086256.0,1060.796875,0
20251113_142747,5-regular-graph-2-colored,38,fast,6246861657014632369638567281796139012351020410767016703913361317191395328000,2398.7002,1774444544,1732856.0,1692.2421875,6246861657014632369638567281796139012351020410767016703913361317191395328000
20251113_154105,5-regular-graph-2-colored,41,fast,0,4398.2827,2483707904,2425496.0,2368.6484375,0
20251113_175414,5-regular-graph-2-colored,44,fast,211032248212205484935189605583737649712958083601728895275756766758695545241847535004579679436800,7989.0107,3813072896,3723704.0,3636.4296875,211032248212205484935189605583737649712958083601728895275756766758695545241847535004579679436800
