timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251121_194022,2-regular-directed-graph,2,fast,0,0.3358,22630400,22100.0,21.58203125,0
20251121_194022,2-regular-directed-graph,5,fast,216,0.3528,22454272,21928.0,21.4140625,216
20251121_194023,2-regular-directed-graph,8,fast,22040361,0.5868,24629248,24052.0,23.48828125,22040361
20251121_194025,2-regular-directed-graph,11,fast,19459238879565,2.1755,28110848,27452.0,26.80859375,19459238879565
20251121_194037,2-regular-directed-graph,14,fast,84798391618743138414,12.2544,35164160,34340.0,33.53515625,84798391618743138414
20251121_194139,2-regular-directed-graph,17,fast,1305719477625154539392776080,62.0328,55193600,53900.0,52.63671875,1305719477625154539392776080
20251121_194556,2-regular-directed-graph,20,fast,57068107225598546939327028600928761,257.07,136458240,133260.0,130.13671875,57068107225598546939327028600928761
20251121_200040,2-regular-directed-graph,23,fast,6066885060026725326590776684425359774363091,883.6712,195424256,190844.0,186.37109375,6066885060026725326590776684425359774363091
20251121_204702,2-regular-directed-graph,26,fast,1398882564790484689907923829002775442712551665672100,2782.4628,299347968,292332.0,285.48046875,1398882564790484689907923829002775442712551665672100
20251121_230341,2-regular-directed-graph,29,fast,640354904933099215511032282069134747640469542437491636947584,8198.4579,484909056,473544.0,462.4453125,640354904933099215511032282069134747640469542437491636947584
20251122_031341,2-regular-directed-graph,32,fast,timeout,15000.1917,489889792,478408.0,467.1953125,timeout
20251122_031341,2-regular-directed-graph,2,recursive,0,0.3383,22589440,22060.0,21.54296875,0
20251122_031342,2-regular-directed-graph,5,recursive,216,0.3352,22437888,21912.0,21.3984375,216
20251122_031343,2-regular-directed-graph,8,recursive,22040361,0.9486,34283520,33480.0,32.6953125,22040361
20251122_031348,2-regular-directed-graph,11,recursive,19459238879565,5.4049,112791552,110148.0,107.56640625,19459238879565
20251122_031414,2-regular-directed-graph,14,recursive,84798391618743138414,25.6275,520359936,508164.0,496.25390625,84798391618743138414
20251122_031556,2-regular-directed-graph,17,recursive,1305719477625154539392776080,102.0202,1734131712,1693488.0,1653.796875,1305719477625154539392776080
20251122_032157,2-regular-directed-graph,20,recursive,57068107225598546939327028600928761,361.4456,5009240064,4891836.0,4777.18359375,57068107225598546939327028600928761
20251122_034026,2-regular-directed-graph,23,recursive,6066885060026725326590776684425359774363091,1108.4357,12726898688,12428612.0,12137.31640625,6066885060026725326590776684425359774363091
20251122_043313,2-regular-directed-graph,26,recursive,1398882564790484689907923829002775442712551665672100,3167.407,29126385664,28443736.0,27777.0859375,1398882564790484689907923829002775442712551665672100
20251122_070323,2-regular-directed-graph,29,recursive,640354904933099215511032282069134747640469542437491636947584,9010.2471,61387218944,59948456.0,58543.4140625,640354904933099215511032282069134747640469542437491636947584
20251122_111326,2-regular-directed-graph,32,recursive,timeout,15003.1332,79498063872,77634828.0,75815.26171875,timeout
20251122_111327,2-regular-directed-graph,2,dr,0,0.1958,20279296,19804.0,19.33984375,0
20251122_111327,2-regular-directed-graph,5,dr,216,0.1862,20135936,19664.0,19.203125,216
20251122_111327,2-regular-directed-graph,8,dr,22040361,0.225,20230144,19756.0,19.29296875,22040361
20251122_111327,2-regular-directed-graph,11,dr,19459238879565,0.5625,22294528,21772.0,21.26171875,19459238879565
20251122_111330,2-regular-directed-graph,14,dr,84798391618743138414,2.1394,23171072,22628.0,22.09765625,84798391618743138414
20251122_111337,2-regular-directed-graph,17,dr,1305719477625154539392776080,7.7693,76779520,74980.0,73.22265625,1305719477625154539392776080
20251122_111404,2-regular-directed-graph,20,dr,57068107225598546939327028600928761,26.4478,78860288,77012.0,75.20703125,57068107225598546939327028600928761
20251122_111502,2-regular-directed-graph,23,dr,6066885060026725326590776684425359774363091,58.0633,84172800,82200.0,80.2734375,6066885060026725326590776684425359774363091
20251122_111658,2-regular-directed-graph,26,dr,1398882564790484689907923829002775442712551665672100,115.9625,95895552,93648.0,91.453125,1398882564790484689907923829002775442712551665672100
20251122_112106,2-regular-directed-graph,29,dr,640354904933099215511032282069134747640469542437491636947584,247.6852,118177792,115408.0,112.703125,640354904933099215511032282069134747640469542437491636947584
20251122_112903,2-regular-directed-graph,32,dr,542426264309508590572260867761981475244340678111036335369437235205985,477.4812,144732160,141340.0,138.02734375,542426264309508590572260867761981475244340678111036335369437235205985
20251122_114352,2-regular-directed-graph,35,dr,802930688629619386881324401141937061448125226498799804486322983190817859367281,888.5689,201334784,196616.0,192.0078125,802930688629619386881324401141937061448125226498799804486322983190817859367281
20251122_121337,2-regular-directed-graph,38,dr,1980618465999015523470076189093533046496477854703052715576850704807459531140282797988546,1785.5449,287825920,281080.0,274.4921875,1980618465999015523470076189093533046496477854703052715576850704807459531140282797988546
20251122_125305,2-regular-directed-graph,41,dr,7821915155735646867906686336414434309416354133554803364586135305310264540600704339130715781435960,2367.8406,400404480,391020.0,381.85546875,7821915155735646867906686336414434309416354133554803364586135305310264540600704339130715781435960
20251122_135954,2-regular-directed-graph,44,dr,47791338252922435239855021562755847675781835958641886905430013993950983151571276795698551277696348414086129,4008.9177,604274688,590112.0,576.28125,47791338252922435239855021562755847675781835958641886905430013993950983151571276795698551277696348414086129
20251122_153400,2-regular-directed-graph,47,dr,438590365546098340107054410715856552752705426727519424565845452746211466768806800271744148406014127750452329588006215,5646.0241,890019840,869160.0,848.7890625,438590365546098340107054410715856552752705426727519424565845452746211466768806800271744148406014127750452329588006215
20251122_184644,2-regular-directed-graph,50,dr,5891482158526116195409732741850843184156988239011667571230127959467132939047113716097474178735561717227730850437875866148220776,11563.7158,1262927872,1233328.0,1204.421875,5891482158526116195409732741850843184156988239011667571230127959467132939047113716097474178735561717227730850437875866148220776
20251122_225644,2-regular-directed-graph,53,dr,timeout,15000.2318,1700081664,1660236.0,1621.32421875,timeout
