timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20251126_164205,m-odd-degree-graph-sc2,0,dr,0,67.201,108740608,106192.0,103.703125,0
20251126_164311,m-odd-degree-graph-sc2,1,dr,0,65.3634,105984000,103500.0,101.07421875,0
20251126_164424,m-odd-degree-graph-sc2,2,dr,0,73.1265,105979904,103496.0,101.0703125,0
20251126_164529,m-odd-degree-graph-sc2,3,dr,0,65.429,105996288,103512.0,101.0859375,0
20251126_164644,m-odd-degree-graph-sc2,4,dr,630,74.3848,105979904,103496.0,101.0703125,630
20251126_164809,m-odd-degree-graph-sc2,5,dr,0,85.6241,105984000,103500.0,101.07421875,0
20251126_164917,m-odd-degree-graph-sc2,6,dr,8400,67.8646,105996288,103512.0,101.0859375,8400
20251126_165023,m-odd-degree-graph-sc2,7,dr,0,66.1784,106008576,103524.0,101.09765625,0
20251126_165132,m-odd-degree-graph-sc2,8,dr,73080,68.4003,106004480,103520.0,101.09375,73080
20251126_165240,m-odd-degree-graph-sc2,9,dr,0,68.0321,105984000,103500.0,101.07421875,0
20251126_165350,m-odd-degree-graph-sc2,10,dr,544320,70.1245,105992192,103508.0,101.08203125,544320
20251126_165501,m-odd-degree-graph-sc2,11,dr,0,70.7082,106012672,103528.0,101.1015625,0
20251126_165609,m-odd-degree-graph-sc2,12,dr,3468780,68.0465,106008576,103524.0,101.09765625,3468780
20251126_165714,m-odd-degree-graph-sc2,13,dr,0,65.0805,106000384,103516.0,101.08984375,0
20251126_165820,m-odd-degree-graph-sc2,14,dr,18844560,66.3167,105996288,103512.0,101.0859375,18844560
20251126_165923,m-odd-degree-graph-sc2,15,dr,0,62.908,105996288,103512.0,101.0859375,0
20251126_170047,m-odd-degree-graph-sc2,16,dr,88499880,84.4759,106012672,103528.0,101.1015625,88499880
20251126_170211,m-odd-degree-graph-sc2,17,dr,0,83.517,106012672,103528.0,101.1015625,0
20251126_170333,m-odd-degree-graph-sc2,18,dr,362849760,82.0573,105979904,103496.0,101.0703125,362849760
20251126_170435,m-odd-degree-graph-sc2,19,dr,0,62.023,105996288,103512.0,101.0859375,0
20251126_170540,m-odd-degree-graph-sc2,20,dr,1306741590,65.278,105996288,103512.0,101.0859375,1306741590
20251126_170644,m-odd-degree-graph-sc2,21,dr,0,64.1524,105992192,103508.0,101.08203125,0
20251126_170751,m-odd-degree-graph-sc2,22,dr,4160761920,66.4252,106000384,103516.0,101.08984375,4160761920
20251126_170900,m-odd-degree-graph-sc2,23,dr,0,68.9818,106008576,103524.0,101.09765625,0
20251126_171005,m-odd-degree-graph-sc2,24,dr,11794618080,65.2553,105979904,103496.0,101.0703125,11794618080
20251126_171111,m-odd-degree-graph-sc2,25,dr,0,66.0204,105996288,103512.0,101.0859375,0
20251126_171217,m-odd-degree-graph-sc2,26,dr,29948325120,66.1242,106000384,103516.0,101.08984375,29948325120
20251126_171344,m-odd-degree-graph-sc2,27,dr,0,86.9191,106012672,103528.0,101.1015625,0
20251126_171511,m-odd-degree-graph-sc2,28,dr,68456944080,86.7133,105992192,103508.0,101.08203125,68456944080
20251126_171614,m-odd-degree-graph-sc2,29,dr,0,63.4871,106029056,103544.0,101.1171875,0
20251126_171749,m-odd-degree-graph-sc2,30,dr,141463586880,94.5939,106070016,103584.0,101.15625,141463586880
20251126_171900,m-odd-degree-graph-sc2,31,dr,0,70.9831,106074112,103588.0,101.16015625,0
20251126_172008,m-odd-degree-graph-sc2,32,dr,265212410400,68.3385,106074112,103588.0,101.16015625,265212410400
20251126_172119,m-odd-degree-graph-sc2,33,dr,0,70.3444,106070016,103584.0,101.15625,0
20251126_172229,m-odd-degree-graph-sc2,34,dr,452398181760,70.0261,105984000,103500.0,101.07421875,452398181760
20251126_172341,m-odd-degree-graph-sc2,35,dr,0,72.0617,106086400,103600.0,101.171875,0
20251126_172452,m-odd-degree-graph-sc2,36,dr,703744387500,71.2353,106065920,103580.0,101.15234375,703744387500
20251126_172603,m-odd-degree-graph-sc2,37,dr,0,71.002,106082304,103596.0,101.16796875,0
20251126_172716,m-odd-degree-graph-sc2,38,dr,1000104708960,72.5484,106070016,103584.0,101.15625,1000104708960
20251126_172828,m-odd-degree-graph-sc2,39,dr,0,72.2987,106074112,103588.0,101.16015625,0
20251126_172941,m-odd-degree-graph-sc2,40,dr,1300182443280,72.8686,106074112,103588.0,101.16015625,1300182443280
20251126_173050,m-odd-degree-graph-sc2,41,dr,0,69.4884,106070016,103584.0,101.15625,0
20251126_173200,m-odd-degree-graph-sc2,42,dr,1547846025600,69.499,106070016,103584.0,101.15625,1547846025600
20251126_173309,m-odd-degree-graph-sc2,43,dr,0,69.7434,106074112,103588.0,101.16015625,0
20251126_173419,m-odd-degree-graph-sc2,44,dr,1688522237640,69.2449,106053632,103568.0,101.140625,1688522237640
