timestamp,formula,domain_size,algorithm,result,time_sec,memory_bytes,memory_kb,memory_mb,status
20250730_062027,5-regular-graph,2,fast,0,1.5723,312606720,305280.0,298.125,completed
20250730_062029,5-regular-graph,5,fast,0,1.6196,314433536,307064.0,299.8671875,completed
20250730_062031,5-regular-graph,8,fast,3507,2.6272,318181376,310724.0,303.44140625,completed
20250730_062050,5-regular-graph,11,fast,0,18.5934,315740160,308340.0,301.11328125,completed
20250730_062419,5-regular-graph,14,fast,283097260184159421,209.1726,313229312,305888.0,298.71875,completed
20250730_065512,5-regular-graph,17,fast,0,1853.2239,306282496,299104.0,292.09375,completed
20250730_102428,5-regular-graph,20,fast,10148613081040117624319536901932188,12555.35,302358528,295272.0,288.3515625,completed
20250731_001748,5-regular-graph,23,fast,TIMEOUT,50000.0772,324251648,316652.0,309.23046875,timeout
20250731_001748,5-regular-graph,2,dr,0,0.106,159514624,155776.0,152.125,completed
20250731_001748,5-regular-graph,5,dr,0,0.1064,159514624,155776.0,152.125,completed
20250731_001749,5-regular-graph,8,dr,3507,0.1056,159514624,155776.0,152.125,completed
20250731_001749,5-regular-graph,11,dr,0,0.1562,164130816,160284.0,156.52734375,completed
20250731_001749,5-regular-graph,14,dr,283097260184159421,0.3581,164425728,160572.0,156.80859375,completed
20250731_001750,5-regular-graph,17,dr,0,1.0629,167759872,163828.0,159.98828125,completed
20250731_001753,5-regular-graph,20,dr,10148613081040117624319536901932188,2.5242,168095744,164156.0,160.30859375,completed
20250731_001758,5-regular-graph,23,dr,0,5.2949,165863424,161976.0,158.1796875,completed
20250731_001809,5-regular-graph,26,dr,30467359843410315617245696171806527102000553683468790,10.4328,170405888,166412.0,162.51171875,completed
20250731_001828,5-regular-graph,29,dr,0,19.298,172130304,168096.0,164.15625,completed
20250731_001901,5-regular-graph,32,dr,2843010110633181076329146335157835526653886525505773678128750092593623465,33.0024,176934912,172788.0,168.73828125,completed
20250731_001956,5-regular-graph,35,dr,0,54.2639,179097600,174900.0,170.80078125,completed
20250731_002120,5-regular-graph,38,dr,4368127725684375563973549518707470526400222420810173610619941575006909579571141732240620282545,84.5977,192368640,187860.0,183.45703125,completed
20250731_002327,5-regular-graph,41,dr,0,126.4607,193167360,188640.0,184.21875,completed
20250731_002630,5-regular-graph,44,dr,71255105875055182557997017781655555536442532957244102135523487927691192677783815124391806002228982002786910982350270,183.3341,216772608,211692.0,206.73046875,completed
20250731_003049,5-regular-graph,47,dr,0,258.7361,219938816,214784.0,209.75,completed
20250731_003649,5-regular-graph,50,dr,8956484931224440208365099823391420885787968956364009938036135103151737528240720573088336140734955569715974273845014957854476879524546198420,360.1534,261746688,255612.0,249.62109375,completed
20250731_004500,5-regular-graph,53,dr,0,490.4141,263901184,257716.0,251.67578125,completed
20250731_005601,5-regular-graph,56,dr,6795393883447733721733146266588723013378490414487480706649430765305240598338695139894738570195350221219142520958152297816697398863444807842030341745517670653088245,661.5992,333467648,325652.0,318.01953125,completed
20250731_011030,5-regular-graph,59,dr,0,868.434,322367488,314812.0,307.43359375,completed
20250731_012926,5-regular-graph,62,dr,25680700899601978545567232079517036037921242849712767391111249289901729786674950790404811019527918270516398940655907165718640293387655331704164811607188440878857828789318772260006723795015,1135.9638,443654144,433256.0,423.1015625,completed
20250731_015332,5-regular-graph,65,dr,0,1445.9249,418385920,408580.0,399.00390625,completed
20250731_022414,5-regular-graph,68,dr,413963486660205106400313596942481325619354428133615673851026285862235609879351583603047447292609042467221583030175981619386657032271416199804658298047547322102933392605752080592959631566048769492563126258836277840,1841.7975,588120064,574336.0,560.875,completed
