timestamp,formula,domain_size,algorithm,result,status
20250729_095304,2-regular-graph,2,dr,0,completed
2025-07-29T09:53:04.479073,2-regular-graph,2,ganak,0,completed
2025-07-29T09:53:04.555964,2-regular-graph,2,approxmc,0,completed
20250729_095304,2-regular-graph,3,dr,1,completed
2025-07-29T09:53:04.771457,2-regular-graph,3,ganak,1,completed
2025-07-29T09:53:04.853989,2-regular-graph,3,approxmc,1,completed
20250729_095304,2-regular-graph,4,dr,3,completed
2025-07-29T09:53:05.064132,2-regular-graph,4,ganak,3,completed
2025-07-29T09:53:05.144599,2-regular-graph,4,approxmc,3,completed
20250729_095305,2-regular-graph,5,dr,12,completed
2025-07-29T09:53:05.357243,2-regular-graph,5,ganak,12,completed
2025-07-29T09:53:05.437717,2-regular-graph,5,approxmc,12,completed
20250729_095305,2-regular-graph,6,dr,70,completed
2025-07-29T09:53:05.910313,2-regular-graph,6,ganak,70,completed
2025-07-29T09:53:06.078449,2-regular-graph,6,approxmc,70,completed
20250729_095306,2-regular-graph,7,dr,465,completed
2025-07-29T09:53:06.734771,2-regular-graph,7,ganak,465,completed
2025-07-29T09:53:06.828545,2-regular-graph,7,approxmc,465,completed
20250729_095306,2-regular-graph,8,dr,3507,completed
2025-07-29T09:53:07.889100,2-regular-graph,8,ganak,3507,completed
2025-07-29T09:53:08.106097,2-regular-graph,8,approxmc,3507,completed
20250729_095308,2-regular-graph,9,dr,30016,completed
2025-07-29T10:09:48.354300,2-regular-graph,9,ganak,TIMEOUT,timeout
2025-07-29T10:26:28.474562,2-regular-graph,9,approxmc,TIMEOUT,timeout
20250729_102628,2-regular-graph,10,dr,286884,completed
20250729_102628,2-regular-graph,11,dr,3026655,completed
20250729_102628,2-regular-graph,12,dr,34944085,completed
20250729_102629,2-regular-graph,13,dr,438263364,completed
20250729_102629,2-regular-graph,14,dr,5933502822,completed
20250729_102629,2-regular-graph,15,dr,86248951243,completed
20250729_102629,2-regular-graph,16,dr,1339751921865,completed
20250729_102629,2-regular-graph,17,dr,22148051088480,completed
20250729_102629,2-regular-graph,18,dr,388246725873208,completed
20250729_102629,2-regular-graph,19,dr,7193423109763089,completed
20250729_102630,2-regular-graph,20,dr,140462355821628771,completed
20250729_102630,2-regular-graph,21,dr,2883013994348484940,completed
20250729_102630,2-regular-graph,22,dr,62053912734368432430,completed
20250729_102630,2-regular-graph,23,dr,1397632884350901759561,completed
20250729_102630,2-regular-graph,24,dr,32874958880640907159723,completed
20250729_102630,2-regular-graph,25,dr,806125893050067459184032,completed
20250729_102631,2-regular-graph,26,dr,20572437191556957007469100,completed
20250729_102631,2-regular-graph,27,dr,545567728616689177021106575,completed
20250729_102631,2-regular-graph,28,dr,15013278861111181457743472757,completed
20250729_102631,2-regular-graph,29,dr,428148189369521610565640556996,completed
20250729_102631,2-regular-graph,30,dr,12637797989534502512274145422334,completed
20250729_102631,2-regular-graph,31,dr,385664715990618439302342773319315,completed
20250729_102632,2-regular-graph,32,dr,12154695103765999167285648831901905,completed
20250729_102632,2-regular-graph,33,dr,395218591123321086599228738750338624,completed
20250729_102632,2-regular-graph,34,dr,13245844477112642393726185363073772912,completed
20250729_102632,2-regular-graph,35,dr,457177496175042566919537551339205247713,completed
20250729_102632,2-regular-graph,36,dr,16236367427844865888710355396428635151235,completed
20250729_102632,2-regular-graph,37,dr,592854109422996136701620291050167342379020,completed
20250729_102633,2-regular-graph,38,dr,22240082261103435407528362778048102363000598,completed
20250729_102633,2-regular-graph,39,dr,856537292223705486205841165409517220305340929,completed
20250729_102633,2-regular-graph,40,dr,33844259291806954099323706086639345592611150051,completed
20250729_102633,2-regular-graph,41,dr,1371117635835938843590820366432451343547586468480,completed
20250729_102633,2-regular-graph,42,dr,56918183648896931085912424779366309206101424769460,completed
20250729_102634,2-regular-graph,43,dr,2419703620503916893087839551673981463211498040511231,completed
20250729_102634,2-regular-graph,44,dr,105285374906828279178539611512869706481317886323020373,completed
20250729_102634,2-regular-graph,45,dr,4686401097632300780663016060407547613686958946044805572,completed
20250729_102634,2-regular-graph,46,dr,213283555977752412853992683874496884264492535632122369430,completed
20250729_102634,2-regular-graph,47,dr,9920013938005178260233451956142676822374820651421955079835,completed
20250729_102635,2-regular-graph,48,dr,471306654672783895374868962300006369622012173237506323575577,completed
20250729_102635,2-regular-graph,49,dr,22863303275436531699693013937810738227306931895593337564344736,completed
